Pincode,StateName,stateCode
515004,Andhra Pradesh,AD
515731,Andhra Pradesh,AD
515002,Andhra Pradesh,AD
515766,Andhra Pradesh,AD
515415,Andhra Pradesh,AD
515822,Andhra Pradesh,AD
515445,Andhra Pradesh,AD
515001,Andhra Pradesh,AD
515002,Andhra Pradesh,AD
515001,Andhra Pradesh,AD
515741,Andhra Pradesh,AD
515775,Andhra Pradesh,AD
515455,Andhra Pradesh,AD
515766,Andhra Pradesh,AD
515445,Andhra Pradesh,AD
515465,Andhra Pradesh,AD
515001,Andhra Pradesh,AD
515751,Andhra Pradesh,AD
515867,Andhra Pradesh,AD
515741,Andhra Pradesh,AD
515763,Andhra Pradesh,AD
515767,Andhra Pradesh,AD
515775,Andhra Pradesh,AD
515722,Andhra Pradesh,AD
515867,Andhra Pradesh,AD
515863,Andhra Pradesh,AD
515722,Andhra Pradesh,AD
515425,Andhra Pradesh,AD
515766,Andhra Pradesh,AD
515402,Andhra Pradesh,AD
515761,Andhra Pradesh,AD
515741,Andhra Pradesh,AD
515867,Andhra Pradesh,AD
515766,Andhra Pradesh,AD
515402,Andhra Pradesh,AD
515787,Andhra Pradesh,AD
515415,Andhra Pradesh,AD
515413,Andhra Pradesh,AD
515867,Andhra Pradesh,AD
515767,Andhra Pradesh,AD
515870,Andhra Pradesh,AD
515763,Andhra Pradesh,AD
515867,Andhra Pradesh,AD
515871,Andhra Pradesh,AD
515411,Andhra Pradesh,AD
515425,Andhra Pradesh,AD
515767,Andhra Pradesh,AD
515408,Andhra Pradesh,AD
515401,Andhra Pradesh,AD
515871,Andhra Pradesh,AD
515002,Andhra Pradesh,AD
515812,Andhra Pradesh,AD
515763,Andhra Pradesh,AD
515002,Andhra Pradesh,AD
515701,Andhra Pradesh,AD
515701,Andhra Pradesh,AD
515812,Andhra Pradesh,AD
515865,Andhra Pradesh,AD
515414,Andhra Pradesh,AD
515411,Andhra Pradesh,AD
515425,Andhra Pradesh,AD
515455,Andhra Pradesh,AD
515761,Andhra Pradesh,AD
515842,Andhra Pradesh,AD
515812,Andhra Pradesh,AD
515408,Andhra Pradesh,AD
515767,Andhra Pradesh,AD
515425,Andhra Pradesh,AD
515414,Andhra Pradesh,AD
515766,Andhra Pradesh,AD
515445,Andhra Pradesh,AD
515465,Andhra Pradesh,AD
515761,Andhra Pradesh,AD
515812,Andhra Pradesh,AD
515411,Andhra Pradesh,AD
515405,Andhra Pradesh,AD
515465,Andhra Pradesh,AD
515414,Andhra Pradesh,AD
515455,Andhra Pradesh,AD
515408,Andhra Pradesh,AD
515767,Andhra Pradesh,AD
515611,Andhra Pradesh,AD
515611,Andhra Pradesh,AD
515721,Andhra Pradesh,AD
515711,Andhra Pradesh,AD
515415,Andhra Pradesh,AD
515701,Andhra Pradesh,AD
515865,Andhra Pradesh,AD
515765,Andhra Pradesh,AD
515871,Andhra Pradesh,AD
515775,Andhra Pradesh,AD
515812,Andhra Pradesh,AD
515414,Andhra Pradesh,AD
515405,Andhra Pradesh,AD
515761,Andhra Pradesh,AD
515842,Andhra Pradesh,AD
515803,Andhra Pradesh,AD
515741,Andhra Pradesh,AD
515425,Andhra Pradesh,AD
515787,Andhra Pradesh,AD
515775,Andhra Pradesh,AD
515405,Andhra Pradesh,AD
515775,Andhra Pradesh,AD
515832,Andhra Pradesh,AD
515842,Andhra Pradesh,AD
515775,Andhra Pradesh,AD
515005,Andhra Pradesh,AD
515722,Andhra Pradesh,AD
515425,Andhra Pradesh,AD
515761,Andhra Pradesh,AD
515871,Andhra Pradesh,AD
515731,Andhra Pradesh,AD
515871,Andhra Pradesh,AD
515414,Andhra Pradesh,AD
515004,Andhra Pradesh,AD
515871,Andhra Pradesh,AD
515465,Andhra Pradesh,AD
515761,Andhra Pradesh,AD
515401,Andhra Pradesh,AD
515865,Andhra Pradesh,AD
515425,Andhra Pradesh,AD
515863,Andhra Pradesh,AD
